"Key for ""Category"""			
eup	Euploid segment		
lym	Lymphocyte V(D)J recombination		
put	Putative CNV		
			
Sample	Size (bins)	IntDist	Category
LYMcell43	119	0.208667683	eup
LYMcell43	59	0.034224229	eup
LYMcell43	101	0.061534272	eup
LYMcell43	757	0.019575905	eup
LYMcell43	1065	0.072600064	eup
LYMcell43	11	0.090696936	eup
LYMcell43	1138	0.01601726	eup
LYMcell43	450	0.037471356	eup
LYMcell43	139	0.039209565	eup
LYMcell43	533	0.03473112	eup
LYMcell43	176	0.058760902	eup
LYMcell43	543	0.001195255	eup
LYMcell43	64	0.051051494	eup
LYMcell43	440	0.038415845	eup
LYMcell43	495	0.034896085	eup
LYMcell43	163	0.009262958	eup
LYMcell43	218	0.031914563	eup
LYMcell43	311	0.037180813	eup
LYMcell43	175	0.00059349	eup
LYMcell43	849	0.030917431	eup
LYMcell43	31	0.159491168	eup
LYMcell43	224	0.005350169	eup
LYMcell43	353	0.033525591	eup
LYMcell43	81	0.071254435	eup
LYMcell43	267	0.04784389	eup
LYMcell43	935	0.010695618	eup
LYMcell43	12	0.022264674	eup
LYMcell45	262	0.096206243	eup
LYMcell45	1061	0.072249953	eup
LYMcell45	1793	0.028080367	eup
LYMcell45	554	0.019500881	eup
LYMcell45	169	0.117992463	eup
LYMcell45	566	0.097335706	eup
LYMcell45	657	0.053187701	eup
LYMcell45	815	0.094891191	eup
